Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Population,X,Y,Latitude,Longitude,Elevation (ft),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,City Generator Link
434,Ciress,Krash,Krash County,Sor'thaz,Kingdom of Sor'thaz,Aj'Snaga,Norwickism,8327,174.32,412.14,3.01,-55.71,13,102°F,Mecca,,,,,plaza,,,{t1:azure;division:{division:perPale;t:or;line:embattled};ordinaries:[{ordinary:gemelle;t:argent;line:straight;divided:field}];shield:fantasy1},https://watabou.github.io/city-generator/?name=Ciress&population=8327&size=29&seed=8194174370434&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
435,Merden,Merden,Merden County,Knutsdonia,Grand Duchy of Knutsdonia,Westen,Norwickism,36277,168,515,-5.6,-56.24,30,102°F,Mecca,,port,,walls,plaza,temple,,{t1:purpure;charges:[{charge:crossHummetty;t:or;p:abc;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Merden&population=36277&size=50&seed=8194174370435&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1&sea=0.76
436,Caldon,Wargton,Wargton Parish,Seavedonia,Holy State of Seavedonia,Nortumbic,Nortumbic Beliefs,4754,1180.24,575.12,-10.63,28.47,52,100°F,Mecca,,,,walls,,temple,,{t1:gules;division:{division:perBendSinister;t:or;line:barby};charges:[{charge:heart;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Caldon&population=4754&size=23&seed=8194174370436&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=1&shantytown=0&gates=-1
437,Chawcescast,Gathamber,Gathamber Earldom,Comburghia,Kingdom of Comburghia,Westen,Norwickism,6579,221.73,620.85,-14.46,-51.74,210,99°F,Mecca,,,,,,,,{t1:argent;division:{division:perCross;t:gules;line:straight};shield:heater},https://watabou.github.io/city-generator/?name=Chawcescast&population=6579&size=26&seed=8194174370437&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
438,Khunbund,Burmingley,Burmingley County,Swasings,Principality of Swasings,Durinn,Durinn Pantheon,6340,1059.08,645.04,-16.48,18.33,210,99°F,Mecca,,,,,plaza,,,{t1:gules;charges:[{charge:key;t:argent;p:jln;size:0.7}];shield:erebor},https://watabou.github.io/city-generator/?name=Khunbund&population=6340&size=26&seed=8194174370438&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
439,Reasalworth,Southfield,Southfield Captaincy,Comburghia,Kingdom of Comburghia,Westen,Norwickism,7618,143.73,659.7,-17.71,-58.27,3153,88°F,Mecca,,,citadel,,,,,{t1:argent;charges:[{charge:mascle;t:gules;p:df;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Reasalworth&population=7618&size=28&seed=8194174370439&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
440,Garingham,Hornorby,Hornorby Parish,Seavedonia,Holy State of Seavedonia,Westen,Norwickism,1299,730.3,677,-19.16,-9.18,13,99°F,Mecca,,,,,plaza,temple,,{t1:sable;ordinaries:[{ordinary:bordure;t:argent}];charges:[{charge:cancer;t:gules;p:ABCDEFGHIJKL;size:0.18}];shield:heater},https://watabou.github.io/city-generator/?name=Garingham&population=1299&size=14&seed=8194174370440&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1
441,Seatesbury,Craftford,Craftford County,Chichia,Grand Duchy of Chichia,Westen,Norwickism,4501,403.95,746.58,-24.98,-36.49,328,90°F,Mecca,,,,,,,,{t1:purpure;division:{division:perChevron;t:or;line:straight};shield:heater},https://watabou.github.io/city-generator/?name=Seatesbury&population=4501&size=23&seed=8194174370441&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
442,Bicorn Shores,Aberkeith,Aberkeith County,Afespia,Kingdom of Afespia,Keltan,Norwickism,4000,326.63,128.99,26.71,-42.96,13,84°F,Aden,,,citadel,walls,plaza,,,{t1:argent;charges:[{charge:escallop;t:gules;p:e;size:1.5}];shield:vesicaPiscis},https://watabou.github.io/city-generator/?name=Bicorn+Shores&population=4000&size=22&seed=8194174370442&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
443,Nodunoduia,Aberviefenia,Aberviefenia County,Afespia,Kingdom of Afespia,Keltan,Norwickism,5972,40.9,240.67,17.36,-66.88,1890,90°F,Mecca,,,,,,,,{t1:or;charges:[{charge:bowWithArrow;t:azure;p:e;size:1.5}];shield:vesicaPiscis},https://watabou.github.io/city-generator/?name=Nodunoduia&population=5972&size=25&seed=8194174370443&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
444,Tacury,Kudg,Kudg County,Waria,Warian Empire,Westen,Norwickism,868,589.49,283.82,13.75,-20.97,118,100°F,Mecca,,,,walls,,,,{t1:pappellony-argent-gules-smaller;division:{division:perPale;t:vert;line:straight};ordinaries:[{ordinary:bendSinister;t:sable;line:straight}];shield:heater},https://watabou.github.io/city-generator/?name=Tacury&population=868&size=12&seed=8194174370444&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
445,Bodu,Witonia,Witonia Parish,Withamberia,Diocese of Withamberia,Keltan,Norwickism,1333,325.36,301.65,12.26,-43.07,52,100°F,Mecca,,,,,,temple,,{t1:gules;charges:[{charge:crossGamma;t:or;p:e;size:1.5}];shield:vesicaPiscis},https://watabou.github.io/city-generator/?name=Bodu&population=1333&size=15&seed=8194174370445&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
446,Inverctabe,Rraj'hass,Rraj'hass Captaincy,Sor'thaz,Kingdom of Sor'thaz,Keltan,Norwickism,763,133.25,336.14,9.37,-59.15,210,100°F,Mecca,,,,walls,,,,{t1:argent;ordinaries:[{ordinary:pile;t:gules}];charges:[{charge:crescent;t:argent;p:b;size:0.5}];shield:vesicaPiscis},https://watabou.github.io/city-generator/?name=Inverctabe&population=763&size=12&seed=8194174370446&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
447,Frample,Arester,Arester Margrave,Milcesia,Duchy of Milcesia,Kentian,Norwickism,4158,165.96,335.9,9.39,-56.41,82,100°F,Mecca,,,citadel,,,,,{t1:argent;charges:[{charge:sun;t:azure;p:jlh;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Frample&population=4158&size=22&seed=8194174370447&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
448,Lympsted,Arester,Arester Margrave,Milcesia,Duchy of Milcesia,Kentian,Norwickism,2505,191.54,340.46,9.01,-54.27,161,100°F,Mecca,,,,,plaza,,,{t1:gules;charges:[{charge:dragonPassant;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Lympsted&population=2505&size=18&seed=8194174370448&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
449,Bunley,New Winchbridia,New Winchbridia Colony,Seavedonia,Holy State of Seavedonia,Westen,Westen Beliefs,1139,884.57,451.32,-0.27,3.73,13,102°F,Mecca,,,,,,temple,,{t1:chequy-argent-sable-smaller;ordinaries:[{ordinary:chief;t:gules;line:straight}];charges:[{charge:lionRampant;t:or;p:abc;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Bunley&population=1139&size=14&seed=8194174370449&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
450,Slojeshras,Inhafraw,Inhafraw Earldom,Sor'thaz,Kingdom of Sor'thaz,Aj'Snaga,Norwickism,3793,52.94,454.6,-0.54,-65.87,161,102°F,Mecca,,,citadel,,,,,{t1:azure;ordinaries:[{ordinary:chevronReversed;t:or}];charges:[{charge:eagleTwoHeards;t:or;p:b;size:0.5}];shield:fantasy1},https://watabou.github.io/city-generator/?name=Slojeshras&population=3793&size=21&seed=8194174370450&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
451,Srash,Srash,Srash County,Sor'thaz,Kingdom of Sor'thaz,Aj'Snaga,Norwickism,16664,41.59,538.09,-7.53,-66.82,328,99°F,Mecca,,,,,plaza,,,{t1:argent;charges:[{charge:wyvernWithWingsDisplayed;t:vert;p:e;size:1.5}];shield:fantasy1},https://watabou.github.io/city-generator/?name=Srash&population=16664&size=38&seed=8194174370451&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
452,Boskirkhamp,Gathamber,Gathamber Earldom,Comburghia,Kingdom of Comburghia,Westen,Norwickism,5854,189.69,628.36,-15.09,-54.42,643,97°F,Mecca,,,citadel,,,,,{t1:or;charges:[{charge:bugleHorn2;t:vert;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Boskirkhamp&population=5854&size=25&seed=8194174370452&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
453,Pilborough,Fivesoliton,Fivesoliton Margrave,Swasings,Principality of Swasings,Westen,Norwickism,9317,966.31,657.65,-17.54,10.57,161,99°F,Mecca,,,,,,,,{t1:sable;charges:[{charge:key;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Pilborough&population=9317&size=30&seed=8194174370453&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
454,Durbotre,Watryfield,Watryfield Margrave,Swasings,Principality of Swasings,Westen,Norwickism,796,926,670.25,-18.59,7.2,266,97°F,Mecca,,,citadel,,,,,{t1:purpure;ordinaries:[{ordinary:canton;t:argent}];charges:[{charge:fleurDeLis;t:gules;p:y;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Durbotre&population=796&size=12&seed=8194174370454&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
455,Nazargunba,Fivesoliton,Fivesoliton Margrave,Swasings,Principality of Swasings,Durinn,Norwickism,7973,972.87,671.68,-18.71,11.12,210,99°F,Mecca,,,citadel,,plaza,,,{t1:purpure;ordinaries:[{ordinary:bend;t:argent;line:straight}];charges:[{charge:mullet;t:purpure;p:e;size:0.7}];shield:erebor},https://watabou.github.io/city-generator/?name=Nazargunba&population=7973&size=28&seed=8194174370455&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
456,Horningt,Kitonbeck,Kitonbeck County,Chichia,Grand Duchy of Chichia,Westen,Norwickism,988,354.83,696.52,-20.79,-40.6,82,97°F,Mecca,,,citadel,,plaza,,,{t1:barry-argent-azure;charges:[{charge:key;t:gules;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Horningt&population=988&size=13&seed=8194174370456&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
457,Soleringdon,Car'ji,Car'ji Territory,Comburghia,Kingdom of Comburghia,Westen,Norwickism,10971,145.97,704.22,-21.43,-58.08,2572,86°F,Khartoum,,,citadel,,,,,{t1:sable;ordinaries:[{ordinary:orle;t:argent}];charges:[{charge:bugleHorn2;t:argent;p:e;size:1.1}];shield:heater},https://watabou.github.io/city-generator/?name=Soleringdon&population=10971&size=32&seed=8194174370457&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
458,Seaziondal,Southfield,Southfield Captaincy,Comburghia,Kingdom of Comburghia,Westen,Norwickism,784,236.42,701,-21.16,-50.51,472,93°F,Mecca,,,citadel,,plaza,,,{t1:azure;charges:[{charge:bell;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Seaziondal&population=784&size=12&seed=8194174370458&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
459,Craftford,Craftford,Craftford County,Chichia,Grand Duchy of Chichia,Westen,Norwickism,5238,337.69,743.5,-24.72,-42.04,210,91°F,Mecca,,,,,,,,{t1:purpure;ordinaries:[{ordinary:fess;t:argent;line:embattled}];charges:[{charge:key;t:or;p:abcz;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Craftford&population=5238&size=24&seed=8194174370459&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
460,Grirk,Qigk,Qigk County,Arania,Principality of Arania,Uruk,Uruk Deities,12458,366.28,6.85,36.93,-39.65,82,70°F,Tegucigalpa,,,,walls,plaza,,,{t1:barry-purpure-or-smaller;division:{division:gyronny;t:argent};charges:[{charge:garb;t:or;p:e;size:1.5}];shield:urukHai},https://watabou.github.io/city-generator/?name=Grirk&population=12458&size=34&seed=8194174370460&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
461,Krorg,Krorg,Krorg County,Arania,Principality of Arania,Uruk,Uruk Deities,14199,398.55,89.82,29.98,-36.95,13,79°F,Jakarta,,,citadel,walls,,,,{t1:or;division:{division:perCross;t:azure;line:nebuly};charges:[{charge:billet;t:gules;p:jl;divided:counter;size:0.7}];shield:urukHai},https://watabou.github.io/city-generator/?name=Krorg&population=14199&size=35&seed=8194174370461&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
462,Lanfiglas,Abercarnvia,Abercarnvia Earldom,Afespia,Kingdom of Afespia,Keltan,Norwickism,2535,253.49,176.6,22.72,-49.09,118,90°F,Mecca,,,citadel,,,,,{t1:argent;ordinaries:[{ordinary:bend;t:gules;line:archedReversed}];charges:[{charge:inescutcheon;t:vert;p:cg;size:0.5};{charge:fountain;t:argent;p:cg;size:0.25}];shield:vesicaPiscis},https://watabou.github.io/city-generator/?name=Lanfiglas&population=2535&size=18&seed=8194174370462&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
463,Chizha,Kudg,Kudg County,Waria,Warian Empire,Rakhnid,Norwickism,8270,664.71,174.89,22.86,-14.67,1447,84°F,Aden,,,citadel,,plaza,,,{t1:azure;charges:[{charge:key;t:argent;p:e;size:1.5}];shield:horsehead2},https://watabou.github.io/city-generator/?name=Chizha&population=8270&size=29&seed=8194174370463&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
464,Apton,Bernesey,Bernesey Parish,Towcesland,Brotherhood of Towcesland,Mercian,Thetford Cult,865,286.64,201.36,20.65,-46.31,13,93°F,Mecca,,,,,,temple,,{t1:or;charges:[{charge:swan;t:gules;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Apton&population=865&size=12&seed=8194174370464&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
465,Bourum,Aberviefenia,Aberviefenia County,Afespia,Kingdom of Afespia,Keltan,Britian Sect,805,93.38,210.04,19.92,-62.48,1890,86°F,Khartoum,,,,,,,,{t1:vert;division:{division:gyronny;t:or};charges:[{charge:crossHummetty;t:argent;p:e;size:1.5}];shield:vesicaPiscis},https://watabou.github.io/village-generator/?pop=805&name=&seed=8194174370465&width=1000&height=455&tags=dead+end%2Cuncultivated%2Cno+orchards%2Cno+square%2Cdense
466,Blechbrid,Birneringia,Birneringia County,Waria,Warian Empire,Westen,Norwickism,5233,537,259.6,15.77,-25.36,13,99°F,Mecca,,,,,plaza,,,{t1:or;ordinaries:[{ordinary:fessDoubleCotissed;t:gules;line:embattled}];charges:[{charge:sun;t:or;p:def;size:0.4}];shield:heater},https://watabou.github.io/city-generator/?name=Blechbrid&population=5233&size=24&seed=8194174370466&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
467,Haltonby,Northia,Northia County,Waria,Warian Empire,Westen,Norwickism,6518,442.02,308.32,11.7,-33.31,52,100°F,Mecca,,,citadel,walls,plaza,,,{t1:argent;charges:[{charge:lute;t:azure;p:def;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Haltonby&population=6518&size=26&seed=8194174370467&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
468,Anaid,Abergarac,Abergarac Earldom,Sor'thaz,Kingdom of Sor'thaz,Keltan,Norwickism,3064,5.9,358,7.54,-69.81,161,100°F,Mecca,,,citadel,walls,plaza,,,{t1:or;charges:[{charge:axe;t:vert;p:jln;size:0.7}];shield:vesicaPiscis},https://watabou.github.io/city-generator/?name=Anaid&population=3064&size=20&seed=8194174370468&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
469,Abertle,Killoch,Killoch County,Sor'thaz,Kingdom of Sor'thaz,Keltan,Norwickism,6125,64.09,382.3,5.51,-64.94,118,102°F,Mecca,,,citadel,,plaza,,,{t1:or;division:{division:perPale;t:azure;line:wavy};charges:[{charge:goutte;t:vert;p:p;size:0.7};{charge:basilisk;t:argent;p:q;size:0.7}];shield:vesicaPiscis},https://watabou.github.io/city-generator/?name=Abertle&population=6125&size=26&seed=8194174370469&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
470,Darley,Sailun,Sailun Parish,Seavedonia,Holy State of Seavedonia,Westen,Westen Beliefs,1008,900.5,408.4,3.32,5.06,52,102°F,Mecca,,,citadel,,,temple,,{t1:sable;division:{division:perSaltire;t:or};charges:[{charge:boat2;t:argent;p:b;size:0.5};{charge:horseshoe;t:vert;p:d;size:0.5};{charge:dragonRampant;t:vert;p:f;size:0.5};{charge:horseshoe;t:argent;p:h;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Darley&population=1008&size=13&seed=8194174370470&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
471,Bretfordbu,Tetlia,Tetlia County,Ardg,Ardg Empire,Nortumbic,Nortumbic Beliefs,866,1452.57,442.7,0.45,51.27,1588,97°F,Mecca,,,,walls,,,,{t1:sable;division:{division:perFess;t:or;line:straight};shield:heater},https://watabou.github.io/city-generator/?name=Bretfordbu&population=866&size=12&seed=8194174370471&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
472,Conere,Tetlia,Tetlia County,Ardg,Ardg Empire,Nortumbic,Nortumbic Beliefs,2353,1481.24,458.81,-0.9,53.67,2392,93°F,Mecca,,,,,,,,{t1:gules;charges:[{charge:apple;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Conere&population=2353&size=18&seed=8194174370472&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
473,Cuzush,Roksas,Roksas Margrave,Sor'thaz,Kingdom of Sor'thaz,Aj'Snaga,Norwickism,5655,106.74,547.76,-8.34,-61.37,738,99°F,Mecca,,,,,plaza,,,{t1:azure;division:{division:perPale;t:or;line:invecked};charges:[{charge:lute;t:argent;p:e;size:1.5}];shield:fantasy1},https://watabou.github.io/city-generator/?name=Cuzush&population=5655&size=25&seed=8194174370473&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
474,Shangyiwo,Shoverton,Shoverton Parish,Seavedonia,Holy State of Seavedonia,Guantzu,Guantzu Faith,776,1268.2,546.89,-8.27,35.84,840,97°F,Mecca,,,citadel,,plaza,temple,,{t1:sable;charges:[{charge:ramsHorn;t:or;p:e;size:1.5}];shield:banner},https://watabou.github.io/city-generator/?name=Shangyiwo&population=776&size=12&seed=8194174370474&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1
475,Midfordford,Wargton,Wargton Parish,Seavedonia,Holy State of Seavedonia,Nortumbic,Nortumbic Beliefs,3228,1155.66,553.44,-8.82,26.42,52,100°F,Mecca,,,citadel,,,temple,,{t1:gules;charges:[{charge:crossHummetty;t:argent;p:jln;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Midfordford&population=3228&size=20&seed=8194174370475&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
476,Kepjer,Srapjergek,Srapjergek Margrave,Sor'thaz,Kingdom of Sor'thaz,Aj'Snaga,Norwickism,5967,111.4,567.51,-9.99,-60.98,643,99°F,Mecca,,,citadel,,plaza,,,{t1:argent;ordinaries:[{ordinary:bordure;t:purpure}];charges:[{charge:inescutcheon;t:gules;p:e;size:1.1};{charge:goutte;t:or;p:e;size:0.55}];shield:fantasy1},https://watabou.github.io/city-generator/?name=Kepjer&population=5967&size=25&seed=8194174370476&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
477,Shash,Merden,Merden County,Knutsdonia,Grand Duchy of Knutsdonia,Aj'Snaga,Norwickism,3808,133.46,572.16,-10.38,-59.13,643,99°F,Mecca,,,,,,,,{t1:gules;charges:[{charge:inescutcheon;t:or;p:jln;size:0.7};{charge:pique;t:sable;p:jln;size:0.35}];shield:fantasy1},https://watabou.github.io/city-generator/?name=Shash&population=3808&size=21&seed=8194174370477&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
478,Osfieldge,Garakzinb,Garakzinb Earldom,Ardg,Ardg Empire,Nortumbic,Nortumbic Beliefs,3604,1407.04,583.26,-11.31,47.46,840,97°F,Mecca,,,citadel,,,,,{t1:masoned-sable-argent;division:{division:perFess;t:or;line:straight};ordinaries:[{ordinary:bend;t:vert;line:straight}];shield:heater},https://watabou.github.io/city-generator/?name=Osfieldge&population=3604&size=21&seed=8194174370478&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
479,Unbakilgat,Burmingley,Burmingley County,Swasings,Principality of Swasings,Durinn,Durinn Pantheon,5470,1064.84,633.86,-15.55,18.82,161,99°F,Mecca,,,,walls,,,,{t1:purpure;ordinaries:[{ordinary:chevron;t:argent}];charges:[{charge:roundel;t:argent;p:ach;size:0.5}];shield:erebor},https://watabou.github.io/city-generator/?name=Unbakilgat&population=5470&size=25&seed=8194174370479&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
480,Newbuton,Kirmouth,Kirmouth County,Comburghia,Kingdom of Comburghia,Westen,Norwickism,869,274.42,659.8,-17.72,-47.33,118,99°F,Mecca,,,citadel,,,,,{t1:azure;division:{division:perFess;t:argent;line:embattledGrady};shield:heater},https://watabou.github.io/city-generator/?name=Newbuton&population=869&size=12&seed=8194174370480&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
481,Pondore,Southfield,Southfield Captaincy,Comburghia,Kingdom of Comburghia,Westen,Norwickism,3125,162.17,673.65,-18.88,-56.73,1063,95°F,Mecca,,,citadel,,,,,{t1:azure;division:{division:perBendSinister;t:potentInPale-vert-argent-smallest;line:straight};charges:[{charge:lozenge;t:or;p:j;size:0.7};{charge:attire;t:or;p:o;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Pondore&population=3125&size=20&seed=8194174370481&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
482,Tasingsted,Southfield,Southfield Captaincy,Comburghia,Kingdom of Comburghia,Westen,Norwickism,827,234.38,669.11,-18.5,-50.68,328,97°F,Mecca,,,,,,,,{t1:argent;charges:[{charge:horseRampant;t:sable;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=827&name=&seed=8194174370482&width=1000&height=455&tags=dead+end%2Cuncultivated%2Cno+orchards%2Cno+square%2Cdense
483,Blechbrid,Guild,Guild Earldom,Chichia,Grand Duchy of Chichia,Westen,Norwickism,4487,369.39,685.56,-19.87,-39.39,30,99°F,Mecca,,,,,,,,{t1:azure;division:{division:perBend;t:argent;line:straight};ordinaries:[{ordinary:cross;t:or;line:straight;divided:counter}];shield:heater},https://watabou.github.io/city-generator/?name=Blechbrid&population=4487&size=23&seed=8194174370483&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
484,Daltash,Daltash,Daltash County,Comburghia,Kingdom of Comburghia,Westen,Norwickism,14895,292.09,705.64,-21.55,-45.85,472,93°F,Mecca,,,,walls,plaza,,,{t1:azure;division:{division:perPale;t:argent;line:wavy};charges:[{charge:heart;t:or;p:p;size:0.7};{charge:eagle;t:gules;p:q;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Daltash&population=14895&size=36&seed=8194174370484&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
485,Northboury,Kitonbeck,Kitonbeck County,Chichia,Grand Duchy of Chichia,Westen,Norwickism,2683,369.5,708.2,-21.77,-39.38,82,95°F,Mecca,,,,,,,,{t1:sable;division:{division:perFess;t:argent;line:indented};shield:heater},https://watabou.github.io/city-generator/?name=Northboury&population=2683&size=19&seed=8194174370485&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
486,Westcking,Somerleyles,Somerleyles Landgrave,Chichia,Grand Duchy of Chichia,Westen,Norwickism,877,329.84,763.04,-26.36,-42.7,82,88°F,Mecca,,,,,,,,{t1:purpure;charges:[{charge:inescutcheon;t:argent;p:jln;size:0.7};{charge:crossHummetty;t:vert;p:jln;size:0.35}];shield:heater},https://watabou.github.io/village-generator/?pop=877&name=&seed=8194174370486&width=1000&height=455&tags=highway%2Cuncultivated%2Cno+orchards%2Cno+square%2Cdense
487,Tunakib,Shiz,Shiz Earldom,Comburghia,Kingdom of Comburghia,Durinn,Norwickism,824,67.11,867.25,-35.08,-64.68,13,77°F,Miami,,,citadel,walls,,,,{t1:or;ordinaries:[{ordinary:crossParted;t:gules;line:archedReversed}];charges:[{charge:castle;t:argent;p:e;size:1.5}];shield:erebor},https://watabou.github.io/city-generator/?name=Tunakib&population=824&size=12&seed=8194174370487&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
